Environment,Media,System,Site,Site-Event-Code,Latitude,Longitude,Sample ID,MP Concentration,Concentration Units,Sample Volume (m3),Sample Collection Date,Discharge (cms)
Estuary,Sediment,Newport Bay (Subtidal),Middle Newport Bay,SUB-3-6,33.620722,-117.901056,SUB-3-6-S1,1.00956,count/m3,NA,2/16/24,NA
Estuary,Sediment,Newport Bay (Subtidal),Middle Newport Bay,SUB-3-7,33.619056,-117.903333,SUB-3-7-S1,2.02956,count/m3,NA,2/16/24,NA
Estuary,Sediment,Newport Bay (Subtidal),Middle Newport Bay,SUB-3-9,33.628611,-117.885611,SUB-3-9-S1,3.30833,count/m3,NA,2/16/24,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-1,33.615736,-117.905901,SUB-4-1-S1,6.77316,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-10,33.608833,-117.913883,SUB-4-10-S1,2.04778,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-10,33.608833,-117.913883,SUB-4-10-S2,1.90831,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-11,33.608400,-117.906633,SUB-4-11-S1,3.21551,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-2,33.610878,-117.907060,SUB-4-2-S1,2.72447,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-4,33.605372,-117.900098,SUB-4-4-S1,1.63744,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-5,33.609205,-117.888602,SUB-4-5-S1,1.75593,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-7,33.615200,-117.916283,SUB-4-7-S1,2.71018,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-7,33.615200,-117.916283,SUB-4-7-S2,2.19165,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-9,33.617750,-117.924300,SUB-4-9-S1,3.40733,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Subtidal),Lower Harbor,SUB-4-9,33.617750,-117.924300,SUB-4-9-S2,3.85476,count/m3,NA,10/11/23,NA
Estuary,Sediment,Newport Bay (Intertidal),Upper Newport Bay,UNB-1,33.651670,-117.881355,UNB-1,0.486899461,count/m3,NA,9/19/21,NA
Estuary,Sediment,Newport Bay (Intertidal),Upper Newport Bay,UNB-2,33.650289,-117.881915,UNB-2,2.073175565,count/m3,NA,9/19/21,NA
Estuary,Sediment,Newport Bay (Intertidal),Upper Newport Bay,UNB-3,33.648395,-117.884765,UNB-3,1.531488561,count/m3,NA,9/19/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-dry,33.654967,-118.029333,HC-H1-Bongo-dry,0.193732397,count/m3,629.7346341,9/25/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-wet,33.654967,-118.029333,HC-H1-Bongo-wet,0.410463605,count/m3,450.7098745,3/20/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-dry,33.654967,-118.029333,HC-H1-Epibenthic-dry,0.04503796,count/m3,399.6628657,9/25/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-wet,33.654967,-118.029333,HC-H1-Epibenthic-wet,0.370284707,count/m3,24.30562166,3/20/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-dry,33.654967,-118.029333,HC-H1-Manta-dry,2.916381185,count/m3,109.0392441,9/25/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),HC-H1,HC-H1-wet,33.654967,-118.029333,HC-H1-Manta-wet,0.277193961,count/m3,108.2274659,3/20/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-dry,33.551317,-118.099767,HS-H3-Bongo-dry,0.313943771,count/m3,745.356403,9/24/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-wet,33.551317,-118.099767,HS-H3-Bongo-wet,0.59282546,count/m3,300.25701,3/19/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-dry,33.551317,-118.099767,HS-H3-Epibenthic-dry,0.470418385,count/m3,129.6718027,9/24/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-wet,33.551317,-118.099767,HS-H3-Epibenthic-wet,0.090801648,count/m3,165.1952393,3/19/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-dry,33.551317,-118.099767,HS-H3-Manta-dry,0.691518063,count/m3,141.7171947,9/24/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HS-H3,HS-H3-wet,33.551317,-118.099767,HS-H3-Manta-wet,3.711677972,count/m3,59.81122329,3/19/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-dry,33.592900,-118.061883,HSB-H2-Bongo-dry,0.114179127,count/m3,648.1044478,9/25/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-wet,33.592900,-118.061883,HSB-H2-Bongo-wet,0.366525405,count/m3,360.1387471,3/20/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-dry,33.592900,-118.061883,HSB-H2-Epibenthic-dry,0.1001619,count/m3,119.8060342,9/25/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-wet,33.592900,-118.061883,HSB-H2-Epibenthic-wet,0.984255979,count/m3,70.10371432,3/20/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-dry,33.592900,-118.061883,HSB-H2-Manta-dry,0.410334846,count/m3,165.7183168,9/25/21,NA
Ocean,Water,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-wet,33.592900,-118.061883,HSB-H2-Manta-wet,0.79600483,count/m3,175.8783299,3/20/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-dry,33.753733,-118.176533,LA-SP1-Bongo-dry,1.381992922,count/m3,630.9728409,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-wet,33.753733,-118.176533,LA-SP1-Bongo-wet,0.419005956,count/m3,997.5991856,3/12/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-dry,33.753733,-118.176533,LA-SP1-Epibenthic-dry,2.643121854,count/m3,290.9438318,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-wet,33.753733,-118.176533,LA-SP1-Epibenthic-wet,2.946286683,count/m3,139.1582164,3/12/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-dry,33.753733,-118.176533,LA-SP1-Manta-dry,4.351955571,count/m3,206.8035818,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-wet,33.753733,-118.176533,LA-SP1-Manta-wet,1.798271177,count/m3,205.7531727,3/12/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-dry,33.707500,-118.190683,MSPB-SP3-Bongo-dry,0.14395891,count/m3,618.2319674,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-wet,33.707500,-118.190683,MSPB-SP3-Bongo-wet,0.262018017,count/m3,335.8547669,3/13/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-dry,33.707500,-118.190683,MSPB-SP3-Epibenthic-dry,0.383494544,count/m3,315.5194822,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-wet,33.707500,-118.190683,MSPB-SP3-Epibenthic-wet,0.033238026,count/m3,240.688181,3/13/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-dry,33.707500,-118.190683,MSPB-SP3-Manta-dry,1.034383696,count/m3,206.8864783,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-wet,33.707500,-118.190683,MSPB-SP3-Manta-wet,0.24215932,count/m3,90.84928067,3/13/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-dry,33.648267,-118.260300,OSPB-SP4-Bongo-dry,0.483427766,count/m3,539.8945171,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-wet,33.648267,-118.260300,OSPB-SP4-Bongo-wet,0.175832883,count/m3,420.8541588,3/13/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-dry,33.648267,-118.260300,OSPB-SP4-Epibenthic-dry,0.320461241,count/m3,112.3380782,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-wet,33.648267,-118.260300,OSPB-SP4-Epibenthic-wet,0.246092221,count/m3,101.5879327,3/13/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-dry,33.648267,-118.260300,OSPB-SP4-Manta-dry,0,count/m3,121.7816051,9/11/21,NA
Ocean,Water,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-wet,33.648267,-118.260300,OSPB-SP4-Manta-wet,0.581680354,count/m3,134.0942659,3/13/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-dry,33.731900,-118.122350,SG-SP2-Bongo-dry,0.448481921,count/m3,461.5570668,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-wet,33.731900,-118.122350,SG-SP2-Bongo-wet,2.135837325,count/m3,468.2004516,3/12/21,NA
